# Proton-detection efficiency from SGMC simulations.
#
# Central value: median efficiency across all variants of the
#   (beamSpot, threshold, stoppingFile, DeIdx) parameter scan.
#
# +/- syst: 1-sigma sample standard deviation of the efficiency
#   across all variants at this energy.  Captures the spread
#   induced by the four systematic parameters.
#
# +/- stat: Monte Carlo statistical uncertainty of the median
#   variant, computed as eff/sqrt(h6) by the simulation.
#
# Total 1-sigma uncertainty: sqrt(syst^2 + stat^2)
#
#  E[keV]     E[MeV]        eff   +/- syst   +/- stat   nVar
      250     0.2501     1.0000     0.0044     0.1000     81
      716     0.7161     0.9200     0.0587     0.0959     81
      780     0.7802     0.8700     0.0628     0.0933     81
      807     0.8072     0.8700     0.0646     0.0933     81
      842     0.8422     0.8600     0.0792     0.0927     81
      877     0.8772     0.8300     0.0663     0.0911     81
      927     0.9273     0.8100     0.0640     0.0900     81
      941     0.9413     0.8000     0.0575     0.0894     81
      992     0.9923     0.7800     0.0677     0.0883     81
     1026     1.0258     0.7500     0.0717     0.0866     81
     1031     1.0313     0.7300     0.0734     0.0854     81
     1101     1.1013     0.6900     0.0723     0.0831     81
     1178     1.1783     0.6200     0.0631     0.0787     81
     1184     1.1843     0.6200     0.0633     0.0787     81
     1189     1.1893     0.6300     0.0708     0.0794     81
     1276     1.2764     0.5500     0.0663     0.0742     81
     1336     1.3364     0.4800     0.0651     0.0693     81
     1523     1.5234     0.3400     0.0516     0.0583     81
     1526     1.5264     0.3500     0.0589     0.0592     81
     1558     1.5584     0.3200     0.0436     0.0566     81
     1599     1.5994     0.3000     0.0537     0.0548     81
     1661     1.6615     0.2400     0.0516     0.0490     81
     1702     1.7025     0.2200     0.0464     0.0469     81
     1762     1.7625     0.1900     0.0463     0.0436     81
     1804     1.8045     0.1800     0.0485     0.0424     81
     1811     1.8115     0.1700     0.0312     0.0412     81
     1829     1.8285     0.1600     0.0365     0.0400     81
     2077     2.0766     0.0900     0.0339     0.0300     81
     2079     2.0786     0.0900     0.0262     0.0300     81
     2217     2.2166     0.0800     0.0283     0.0283     81
     2414     2.4137     0.0500     0.0194     0.0224     81
